"Guid","Description","Product2Id","Quantity","SBQQ__ParentID__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
000d2bac-c514-45e2-9788-c0d5a8493f25,"#N/A",d3623f43-15fc-4e25-b753-7479ac76cbe3,8.0,"#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
0013a202-0e33-4e84-ada9-99f8aa9e77c8,"#N/A",a6a548ea-163b-48de-b423-15264edd5c0c,5.0,"#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00489c64-49ba-4fc3-addb-9b26d3554bcd,"#N/A",3c164e09-0bfa-46e7-9746-10b085d51036,1.0,"#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
00530c4e-8a23-4d4e-a5ee-3e9402ed533a,"#N/A",d3623f43-15fc-4e25-b753-7479ac76cbe3,8.0,"#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
0063a182-ee4c-4c47-bc22-c648d0a36774,"#N/A",5fafe8a1-29fd-4d4e-93d9-521cc4fc9758,5.0,"#N/A","#N/A","#N/A","#N/A",2900.0,580.0,"#N/A"
006f521e-3484-4a9c-8c89-d10ec94caa77,"#N/A",7a4f7292-0146-436c-874b-468b294c4ab5,6.0,"#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
00845860-93a4-4f6e-b24e-e4e79d3dab6d,"#N/A",a6a548ea-163b-48de-b423-15264edd5c0c,5.0,"#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00c620e2-778d-4adb-8344-4ef34395de91,"#N/A",4d30061a-afe1-4e02-942d-c326e9d17913,1.0,"#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
00cdff78-9002-45d9-ad8f-209c0c33d247,"#N/A",d3623f43-15fc-4e25-b753-7479ac76cbe3,8.0,"#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00e2a15a-a971-4776-9cde-b538127d5b6c,"#N/A",7fe287c5-6760-4819-be85-c105266a030a,1.0,"#N/A","#N/A","#N/A","#N/A",7500.0,7500.0,"#N/A"
00e39708-1861-489a-9d0d-36c33fd0904b,"#N/A",d3623f43-15fc-4e25-b753-7479ac76cbe3,12.0,"#N/A","#N/A","#N/A","#N/A",600.0,50.0,"#N/A"
00e6024f-b403-47c2-9e60-f4c9dc5ffecd,"#N/A",e4b8f24a-1e00-4925-b72a-9fbc68c34af2,2.0,"#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
00e8a678-5627-4945-aefe-37b188258d2a,"#N/A",279f5b77-35c4-467f-9edc-36fcb27f26d1,5.0,"#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
00eeb923-9b69-4d31-b664-6caf93f15a9d,"#N/A",279f5b77-35c4-467f-9edc-36fcb27f26d1,5.0,"#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
00f5cac0-cc51-4eb2-a42d-5a975ea0b8ea,"#N/A",e4b8f24a-1e00-4925-b72a-9fbc68c34af2,2.0,"#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
